Invoice Number,Total Charged,Path
R99017922,2705.59,Incoming_inv_ParaisurZ996560_39.pdf
578429792,3312.02,ArmstrongHoffman_2021-05-16.pdf
99736670,11676.73,Email_Attachment_2023-01-17_41.pdf
556781099,6024.82,BushCochranandKennedy_2021-12-24.pdf
486128729,4019.03,Incoming_inv_ParaisurZ996560_43.pdf
136721665,7941.57,Invoice (44).pdf
411912154,11683.0,Email_Attachment_2022-01-31_45.pdf
226951501,12248.240000000002,Incoming_inv_ParaisurZ996560_46.pdf
788637963,12217.69,Invoice (47).pdf
Q93290777,9801.49,Q93290777.pdf
E22390057,7196.38,ScottPLC_2021-02-09.pdf
P15962702,20145.85,Incoming_inv_ParaisurZ996560_50.pdf
X18990729,18084.24,Email_Attachment_2023-01-15_51.pdf
358951563,27636.62,2022-11-12_52.pdf
797056017,11146.440000000002,2022-04-26_53.pdf
T19198420,15624.85,Email_Attachment_2023-05-18_54.pdf
266632390,5213.92,Invoice (55).pdf
R00681180,3687.74,Invoice (56).pdf
C44648217,2217.8,2022-05-10_57.pdf
W82809165,1638.3496376568069,2021-10-05_58.pdf
W92106592,8357.9,Incoming_inv_ParaisurZ996560_59.pdf
752619552,24026.58,MyersLtd_2023-02-21.pdf
P94091081,9717.88,LoweryWhiteandCarter_2021-07-03.pdf
666554693,3245.0599999999995,666554693.pdf
U13431705,22308.31,GallagherInc_2023-03-11.pdf
510533668,2954.0,Invoice (64).pdf
J34221786,1667.41,2021-12-19_65.pdf
S52552586,23975.73,Email_Attachment_2022-04-27_66.pdf
M88834311,3080.95,LaraPLC_2023-04-21.pdf
347345320,5343.65,2023-03-17_68.pdf
909249547,12612.92,Email_Attachment_2022-06-20_69.pdf
A89165346,8588.82,2021-04-06_70.pdf
314375014,2909.8,2022-06-27_71.pdf
E88462246,5109.4,2022-12-22_72.pdf
400438952,8566.74,2023-03-02_73.pdf
D42270420,43723.55,2021-09-01_74.pdf
L72796583,7997.48,Invoice (75).pdf
T38566505,22161.84,JohnsonThomas_2022-06-11.pdf
M57255552,13036.27,Incoming_inv_ParaisurZ996560_77.pdf
968858029,1317.0400000000002,SmithStevensandFisher_2021-06-12.pdf
267115359,2101.52,Incoming_inv_ParaisurZ996560_79.pdf
587945621,19720.35,2021-06-08_80.pdf
J57753721,4364.16,WatsonGroup_2021-06-20.pdf
798373233,3176.78,Invoice (82).pdf
363331588,13110.54,Email_Attachment_2021-04-14_83.pdf
713971768,9985.882231274862,Invoice (84).pdf
N69004567,31489.72,Incoming_inv_ParaisurZ996560_85.pdf
J31035181,3595.7900000000004,J31035181.pdf
E10850399,6917.490000000001,Incoming_inv_ParaisurZ996560_87.pdf
708583208,9368.86,Email_Attachment_2021-07-29_88.pdf
G15941590,7535.36,Email_Attachment_2021-05-05_89.pdf
K22363359,10030.49,Incoming_inv_ParaisurZ996560_90.pdf
K17203280,21579.910000000003,Email_Attachment_2022-07-08_91.pdf
K46176755,9905.55,Invoice (92).pdf
B88262085,5687.42,Invoice (93).pdf
725748905,2331.75,725748905.pdf
J61758079,7344.76,PowellLLC_2021-01-18.pdf
L23619384,49563.02,Email_Attachment_2022-09-07_97.pdf
828655515,9523.28,
195621415,21800.53,Incoming_inv_ParaisurZ996560_98.pdf
525094401,24385.55,2021-03-24_99.pdf
337689402,754.39,Incoming_inv_ParaisurZ996560_100.pdf
V14223434,4761.47,Email_Attachment_2022-09-22_101.pdf
Q86274702,9030.089999999998,Invoice (102).pdf
755478342,1872.05,Invoice (103).pdf
656058731,5019.61,656058731.pdf
T70079518,15081.44,Invoice (105).pdf
613714113,21372.44,Email_Attachment_2022-11-15_106.pdf
761485484,5441.21,Incoming_inv_ParaisurZ996560_107.pdf
U82787473,10660.53,2022-08-03_108.pdf
S79609985,7275.74,2023-02-26_109.pdf
991001106,3435.49,991001106.pdf
288807811,8083.55,Incoming_inv_ParaisurZ996560_111.pdf
774944901,9523.28,
S53605606,12211.490000000002,S53605606.pdf
924504787,21575.369999999995,YangandSons_2021-05-27.pdf
336525253,8440.330000000002,Email_Attachment_2021-05-18_115.pdf
D07341731,44330.8,Invoice (116).pdf
A92477926,5087.049999999999,Incoming_inv_ParaisurZ996560_117.pdf
P39725283,14593.24,Incoming_inv_ParaisurZ996560_118.pdf
840169060,2696.1600000000003,ColemanRamirezandFuller_2021-05-07.pdf
V49251693,28721.28,SchultzTorres_2021-03-09.pdf
I54358125,52654.42,I54358125.pdf
W28530445,7254.660000000001,AndersonLopez_2023-02-09.pdf
B91326331,15885.47,Incoming_inv_ParaisurZ996560_123.pdf
958585754,2406.79,Email_Attachment_2022-04-02_124.pdf
R63669385,15464.449999999995,Invoice (125).pdf
470286696,20263.19,Email_Attachment_2021-02-22_126.pdf
I96416098,7816.990000000001,Invoice (127).pdf
559781413,9523.28,
U31929699,3320.16,Email_Attachment_2021-12-22_129.pdf
Q38405095,2697.32,BrownBenton_2021-08-23.pdf
Y31637916,5957.14,Email_Attachment_2021-09-14_131.pdf
V62061340,1883.95,Email_Attachment_2022-04-28_132.pdf
I65934666,28364.18,MurphyMcguire_2023-01-18.pdf
850174225,14930.96,2021-09-09_134.pdf
130538375,3973.48,2021-02-02_135.pdf
513356951,8889.580000000002,2023-05-27_136.pdf
247390083,20974.82,Email_Attachment_2021-08-16_137.pdf
V37847717,28014.109999999997,CaldwellLLC_2023-04-15.pdf
F02022898,15660.3,HenryandSons_2022-02-04.pdf
E56485804,6988.9800000000005,Incoming_inv_ParaisurZ996560_140.pdf
76592153,8168.2,Email_Attachment_2022-06-02_141.pdf
Q01887853,7685.88,Q01887853.pdf
229307847,4754.47,WintersCarterandMora_2021-05-02.pdf
G67531466,58719.09,MoralesNorton_2021-04-03.pdf
S35264324,16800.359999999997,Email_Attachment_2022-11-15_145.pdf
317166185,18197.16,2021-09-16_146.pdf
I15725077,2562.8700000000003,2021-09-27_147.pdf
U64433052,8283.11,Incoming_inv_ParaisurZ996560_148.pdf
Z34426267,7605.530000000001,Z34426267.pdf
L85354169,5814.42,L85354169.pdf
994185758,9523.28,
202313975,3584.5,202313975.pdf
987120802,1844.84,Invoice (153).pdf
242969362,7605.309999999999,Email_Attachment_2021-03-10_154.pdf
J78713589,4894.42,Email_Attachment_2022-11-27_155.pdf
634010388,1146.83,Email_Attachment_2023-03-31_156.pdf
9121602,5928.93,9121602.pdf
326452930,9523.28,
Q26371927,4787.43,Q26371927.pdf
H06183335,14026.79,Email_Attachment_2023-04-10_160.pdf
Z25278999,5346.16,2023-05-30_161.pdf
X04862706,31176.34,Email_Attachment_2022-08-12_162.pdf
242007358,4588.01,2023-03-29_163.pdf
48661514,1807.42,2022-06-21_164.pdf
U89813792,16050.61,Incoming_inv_ParaisurZ996560_165.pdf
125184742,5065.610000000001,Email_Attachment_2022-05-08_166.pdf
327297099,3626.62,Incoming_inv_ParaisurZ996560_167.pdf
702992978,11669.0,Incoming_inv_ParaisurZ996560_168.pdf
E38033006,13113.02,HernandezPLC_2022-07-23.pdf
D12358554,5645.98,Incoming_inv_ParaisurZ996560_170.pdf
Q90870065,31451.88,HernandezPLC_2022-10-15.pdf
230475082,18420.18,Incoming_inv_ParaisurZ996560_172.pdf
706551682,4721.79,2023-01-12_173.pdf
432790320,3726.54,Incoming_inv_ParaisurZ996560_174.pdf
188588309,22331.77,Email_Attachment_2021-10-02_175.pdf
F79114333,35745.73,Email_Attachment_2022-02-04_176.pdf
V93101563,9523.28,
M42191720,2526.1100000000006,Incoming_inv_ParaisurZ996560_178.pdf
396056152,6458.33,WuJones_2022-01-31.pdf
H06316666,18780.26,H06316666.pdf
334385845,2880.11,2021-09-05_181.pdf
882433012,9893.69,Invoice (182).pdf
Y21203729,7208.09,WilsonInc_2022-01-07.pdf
N20997906,19051.7,2023-03-20_184.pdf
726488347,21548.93194708292,NelsonCampbellandBright_2021-08-23.pdf
T33836658,6062.3,2021-08-19_186.pdf
379818130,14027.81,379818130.pdf
594789673,2741.05,594789673.pdf
W19626146,24548.42,Email_Attachment_2021-09-03_189.pdf
D00472775,2954.17,FlemingandSons_2021-02-08.pdf
988306831,18270.72,HallandSons_2022-09-06.pdf
384267740,5110.76,Email_Attachment_2021-11-22_192.pdf
667025891,10055.11,Incoming_inv_ParaisurZ996560_193.pdf
85743606,8634.06,Email_Attachment_2023-03-13_194.pdf
S64053689,2315.73,S64053689.pdf
362557395,3560.36,2021-11-16_196.pdf
614603905,10483.81,Incoming_inv_ParaisurZ996560_197.pdf
L27724327,21075.460000000003,Invoice (198).pdf
J36454724,2051.0,Invoice (199).pdf
436971423,4091.89,Email_Attachment_2021-08-26_200.pdf
J36873143,7688.24,WhiteandSons_2021-01-30.pdf
L59231488,8456.87,2021-12-06_202.pdf
H15630205,4628.64,Invoice (203).pdf
U17850650,5485.73,2022-10-14_204.pdf
F64209688,8626.83,Incoming_inv_ParaisurZ996560_205.pdf
572122970,18808.69,KirkLLC_2022-11-17.pdf
H18274146,3046.61,Incoming_inv_ParaisurZ996560_207.pdf
235811933,1878.52,Invoice (208).pdf
R55947574,5525.700000000001,Incoming_inv_ParaisurZ996560_209.pdf
O91804735,14283.11,O91804735.pdf
G14127348,4413.09,Email_Attachment_2022-08-14_211.pdf
103758022,9917.38,Email_Attachment_2021-05-12_212.pdf
699332564,31050.83,2022-09-13_213.pdf
Q51920772,18712.6,2021-01-23_214.pdf
829334188,9523.28,2022-04-05_215.pdf
577043934,8761.74,Invoice (216).pdf
R99836473,16346.53,2022-08-19_217.pdf
J68690208,4263.75,Email_Attachment_2021-02-20_218.pdf
986103842,4201.36,2021-04-12_219.pdf
R71248609,7914.23,PerezBell_2022-08-14.pdf
T42816382,4109.65,T42816382.pdf
L18529036,5359.28,SandersLtd_2022-03-21.pdf
234167336,7311.22,234167336.pdf
752909953,829.22,MillerLLC_2021-03-14.pdf
L91824062,6007.87,Email_Attachment_2022-09-09_225.pdf
220394393,2239.57,2022-06-21_226.pdf
Y13797066,12808.510000000002,2022-06-26_227.pdf
386549974,8143.58,Incoming_inv_ParaisurZ996560_228.pdf
458353949,5783.71,StewartBaker_2023-01-27.pdf
F18337579,18315.370000000003,Email_Attachment_2021-03-01_230.pdf
185963084,3773.91,DavisAustin_2021-02-05.pdf
511240237,22912.000000000004,Invoice (232).pdf
160102086,5674.01,Invoice (233).pdf
586013532,1627.42,DixonPLC_2021-10-29.pdf
407777516,13319.43,GravesPLC_2021-07-26.pdf
A58911591,4083.96,Incoming_inv_ParaisurZ996560_236.pdf
106360273,14229.68,2022-07-27_237.pdf
C16117913,3047.6400000000003,C16117913.pdf
I46763029,7393.15,I46763029.pdf
472290194,732.96,Email_Attachment_2021-01-18_240.pdf
P66662233,17393.11,RodriguezLtd_2021-09-20.pdf
886739160,7356.629999999999,Invoice (242).pdf
620408513,5390.37,ClarkGroup_2023-01-01.pdf
311329035,10013.65,Incoming_inv_ParaisurZ996560_244.pdf
B33555156,12521.009999999998,Invoice (245).pdf
K83821400,6981.46,Email_Attachment_2022-10-31_246.pdf
31514774,20812.99,2021-10-04_247.pdf
M26157817,3781.0,Email_Attachment_2021-08-11_248.pdf
764781629,5907.02,Incoming_inv_ParaisurZ996560_249.pdf
D95769840,19467.82,Incoming_inv_ParaisurZ996560_250.pdf
630512376,6798.4400000000005,Incoming_inv_ParaisurZ996560_251.pdf
122226488,9054.38,2021-03-10_252.pdf
918886884,5725.99,Email_Attachment_2022-09-20_253.pdf
Q15791654,7465.1,Email_Attachment_2021-09-04_254.pdf
593669616,24408.83,593669616.pdf
E34699329,3667.07,Incoming_inv_ParaisurZ996560_256.pdf
N24993972,4066.150000000001,Incoming_inv_ParaisurZ996560_257.pdf
703451834,3704.34,MasseyHaney_2022-09-27.pdf
T07636920,4380.92,Invoice (259).pdf
A76823618,6485.099999999999,A76823618.pdf
D97411180,23103.5,SparksNewmanandJohnson_2021-01-03.pdf
49763407,7071.86,Email_Attachment_2021-05-13_262.pdf
W61021495,3290.51,Email_Attachment_2022-06-09_263.pdf
307470195,23393.58,2023-03-04_264.pdf
Y31978723,8907.509999999998,Email_Attachment_2021-09-14_265.pdf
B60889837,6959.92,Incoming_inv_ParaisurZ996560_266.pdf
K73521656,5581.92,K73521656.pdf
700548009,6655.17,700548009.pdf
L22044366,19196.21,GrayJohnsonandMitchell_2021-06-10.pdf
736758427,5347.74,SalinasPLC_2022-05-21.pdf
436839815,36230.03,Invoice (271).pdf
L54805510,2294.67,Invoice (272).pdf
939817245,38306.37,2021-09-10_273.pdf
K25032074,5450.06,Invoice (274).pdf
746198696,9523.28,
935586801,23648.28,LawsonLtd_2022-08-07.pdf
255670995,4532.089999999999,Email_Attachment_2023-04-20_277.pdf
A26546694,6028.679999999999,Email_Attachment_2022-12-14_278.pdf
F77551310,2751.71,DavisAnderson_2021-11-21.pdf
E46989130,29264.89,2021-08-28_280.pdf
461859922,6133.64,Email_Attachment_2022-02-04_281.pdf
751427376,29561.55,Email_Attachment_2022-10-12_282.pdf
395010656,58041.1,Email_Attachment_2021-08-16_283.pdf
U59837005,1597.73,U59837005.pdf
150776319,4642.780000000001,StoneBrown_2021-06-12.pdf
A69243791,3816.05,A69243791.pdf
912844401,32494.51,2022-09-05_287.pdf
A99168889,27457.11,A99168889.pdf
M24969380,10378.38,2023-01-06_289.pdf
A39589839,9899.32,Email_Attachment_2021-10-04_290.pdf
H31012065,15656.260000000002,2021-01-28_291.pdf
635633352,3932.48,635633352.pdf
392831401,8006.650000000001,Email_Attachment_2021-09-26_293.pdf
D82623371,5481.650000000001,2023-05-23_294.pdf
323201698,16084.56,JonesGroup_2022-03-06.pdf
65699539,5866.74,Invoice (296).pdf
386011105,14068.39,Email_Attachment_2022-03-30_297.pdf
W15412659,32513.8,W15412659.pdf
V70675550,2980.96,V70675550.pdf
686584156,6698.169999999999,Invoice (300).pdf
331259515,11854.989999999998,331259515.pdf
135727105,6333.370000000001,Email_Attachment_2021-08-31_302.pdf
983617542,9681.02,EdwardsGroup_2022-12-01.pdf
832633503,7269.03,2022-02-19_304.pdf
609421183,8937.130000000001,Email_Attachment_2022-12-11_305.pdf
575531791,27478.03,Invoice (306).pdf
726467142,6960.48,2021-04-24_307.pdf
X12123762,13867.16,Incoming_inv_ParaisurZ996560_308.pdf
986171240,9780.9,GonzalezInc_2022-11-17.pdf
P18266517,16336.51,GonzalezInc_2022-10-16.pdf
R77142788,5055.84,Incoming_inv_ParaisurZ996560_311.pdf
797267275,16721.52,TaylorWashington_2021-09-21.pdf
848725585,27811.79,Incoming_inv_ParaisurZ996560_313.pdf
C17154110,14009.35,RodriguezInc_2021-08-04.pdf
755601719,17953.899999999998,Invoice (315).pdf
183415481,9477.147918077137,Invoice (316).pdf
N09584961,10003.02,N09584961.pdf
612898045,3389.41,Email_Attachment_2022-05-25_318.pdf
W97972029,28797.94,2023-02-04_319.pdf
750543706,11328.13,2021-03-17_320.pdf
496781934,5608.12,JohnsonInc_2023-03-08.pdf
R46120796,7628.049999999999,Email_Attachment_2021-02-11_322.pdf
135264446,19119.86,JohnsonInc_2021-11-16.pdf
A37078503,3437.68,JohnsonInc_2021-12-11.pdf
Q78108237,9220.25,Invoice (325).pdf
Z78637462,5612.860000000001,JohnsonInc_2021-03-29.pdf
V92553057,3458.64,Email_Attachment_2022-04-05_327.pdf
T90219746,2186.25,Invoice (328).pdf
R84137954,2923.26,2021-03-18_329.pdf
699009652,4118.38,Incoming_inv_ParaisurZ996560_330.pdf
R20106650,21170.77,2022-04-02_331.pdf
972138635,6144.6,Invoice (332).pdf
524793003,13827.61,Email_Attachment_2023-01-07_333.pdf
818399780,7427.849999999999,Email_Attachment_2023-01-13_334.pdf
Z99389813,28641.64,Incoming_inv_ParaisurZ996560_335.pdf
K14239365,9523.28,
W47657185,4468.109999999999,Incoming_inv_ParaisurZ996560_337.pdf
403683388,9082.67,Invoice (336).pdf
222558964,8685.060000000001,Incoming_inv_ParaisurZ996560_339.pdf
590261339,8300.88,590261339.pdf
D49607132,5705.67,Invoice (341).pdf
A84129136,2204.77,A84129136.pdf
742330985,570.14,Invoice (343).pdf
809284411,5810.699999999999,FerrellMeltonandMason_2022-12-01.pdf
B26859631,5605.48,Incoming_inv_ParaisurZ996560_345.pdf
G53930080,2945.05,Email_Attachment_2022-05-07_346.pdf
D74433131,18259.95,2023-05-16_347.pdf
K92316917,9318.41,Incoming_inv_ParaisurZ996560_348.pdf
D20909989,51236.52,JohnsonandSons_2021-10-25.pdf
F67422126,1227.9299999999998,2023-05-21_350.pdf
965755307,42160.92,Incoming_inv_ParaisurZ996560_351.pdf
M68017650,8333.98,2021-10-04_352.pdf
P08719747,1366.9,Email_Attachment_2022-09-29_353.pdf
R23219078,8857.810000000001,JohnsonandSons_2021-06-25.pdf
J64991660,5393.780000000001,Incoming_inv_ParaisurZ996560_355.pdf
M07592029,2809.22,M07592029.pdf
L18808314,5027.8,Incoming_inv_ParaisurZ996560_357.pdf
V61272032,11108.29,Email_Attachment_2022-02-07_358.pdf
925892156,29652.34,Invoice (359).pdf
811235820,17208.199999999997,Incoming_inv_ParaisurZ996560_360.pdf
723425338,3309.79,Invoice (361).pdf
R03341205,14755.41,2022-03-23_362.pdf
318618545,7168.92,318618545.pdf
F74524164,1048.12,Email_Attachment_2022-05-31_364.pdf
L70579294,14475.62,2022-10-22_365.pdf
J25814578,1221.4,Incoming_inv_ParaisurZ996560_366.pdf
199417262,9523.28,
680893196,2534.88,Invoice (368).pdf
985182047,25034.27,Invoice (369).pdf
Y93321181,26781.97,2021-01-12_370.pdf
603286412,3398.31,Email_Attachment_2022-08-25_371.pdf
U28463995,1422.6899999999998,Email_Attachment_2021-11-28_372.pdf
33766712,7452.04,PetersonFreeman_2021-05-08.pdf
70616730,4351.129999999999,Incoming_inv_ParaisurZ996560_374.pdf
605039232,9165.63,605039232.pdf
807212429,12706.85,807212429.pdf
I66617824,1612.6899999999998,Incoming_inv_ParaisurZ996560_377.pdf
Y82727944,17725.81,2022-12-05_378.pdf
130404667,6585.49,ReyesInc_2021-02-11.pdf
W39290560,20952.86,Invoice (380).pdf
U36061231,4396.16,AndersonInc_2022-09-27.pdf
434892677,11415.45,Incoming_inv_ParaisurZ996560_382.pdf
W01167881,9257.04,2023-01-30_383.pdf
837241294,6724.14,2021-03-09_384.pdf
823676197,5901.330000000001,HernandezMooreandGordon_2022-10-29.pdf
474114541,1456.29,Email_Attachment_2022-12-23_386.pdf
794702947,11462.96,Invoice (387).pdf
625819123,20808.95,Email_Attachment_2023-01-14_388.pdf
325287105,4372.49,325287105.pdf
123836711,9867.07,Email_Attachment_2023-04-14_390.pdf
578814008,8866.38,MoralesBurnsandLynch_2023-05-02.pdf
170766270,9547.65,Invoice (392).pdf
309274394,31172.120000000003,Email_Attachment_2021-07-16_393.pdf
G17325862,8489.67,Email_Attachment_2021-04-10_394.pdf
J76272810,17868.8,Invoice (395).pdf
G32580915,37430.93,Incoming_inv_ParaisurZ996560_396.pdf
E07736809,3697.4,Email_Attachment_2022-05-30_397.pdf
R73909213,19161.85,R73909213.pdf
R32377274,2861.89,GarzaCooperandPearson_2021-07-24.pdf
D96716081,8770.14,Incoming_inv_ParaisurZ996560_400.pdf
946901916,15537.42,Invoice (401).pdf
Y90909242,10757.62,Invoice (402).pdf
T38909264,1570.0,Incoming_inv_ParaisurZ996560_403.pdf
V18849890,4933.95,V18849890.pdf
743726256,19236.04,KellyGroup_2021-05-07.pdf
C08777013,12678.21,Email_Attachment_2021-09-29_406.pdf
401552981,6673.29,Email_Attachment_2022-05-20_407.pdf
544492821,22375.99,544492821.pdf
V01801273,3891.8,SheltonDavis_2021-06-07.pdf
165983071,2067.9700000000003,Invoice (410).pdf
391056964,671.3599999999999,2021-10-25_411.pdf
878065362,11253.05,JonesSwanson_2021-01-18.pdf
871403053,2199.16,Invoice (413).pdf
P88187405,1895.15,P88187405.pdf
D52810356,5728.13,Email_Attachment_2022-08-28_415.pdf
E23717166,7548.019999999999,Invoice (416).pdf
779691932,14900.33,2022-06-05_417.pdf
39056981,4326.18,Invoice (418).pdf
393778884,9022.01,2021-10-13_419.pdf
392444101,6564.45,Incoming_inv_ParaisurZ996560_420.pdf
44597363,29015.95,2021-10-30_421.pdf
859205539,25338.74,TrevinoWilsonandCunningham_2021-06-02.pdf
242179311,5076.860000000001,Invoice (423).pdf
O78576600,792.13,Incoming_inv_ParaisurZ996560_424.pdf
799776408,8406.24,Email_Attachment_2022-01-27_425.pdf
520070561,15271.17,Incoming_inv_ParaisurZ996560_426.pdf
G41453766,12421.19,Invoice (427).pdf
663345025,3635.04,663345025.pdf
211083444,6243.829999999999,WattsLLC_2022-01-04.pdf
J35125934,6568.869533116518,SmithPierce_2022-07-26.pdf
954200518,3980.97,AndersonLtd_2021-09-11.pdf
126358148,2550.19,Email_Attachment_2021-06-28_432.pdf
544855945,9514.48,Invoice (433).pdf
T19049083,10743.45,2022-10-28_434.pdf
G77442408,27292.35,Invoice (435).pdf
746111033,8985.240000000002,Email_Attachment_2022-05-15_436.pdf
Z88542280,21158.0,McdonaldInc_2023-01-08.pdf
Z31860688,13854.6,Incoming_inv_ParaisurZ996560_438.pdf
370187501,4178.639999999999,TurnerOchoa_2021-12-31.pdf
373764603,5878.48,373764603.pdf
D35346006,5963.5,SimmonsAndrews_2021-11-10.pdf
I30638138,12500.459572612232,Invoice (442).pdf
I23873481,9722.81,Email_Attachment_2022-05-01_443.pdf
R38283220,15065.93,2022-04-11_444.pdf
126681282,16389.739999999998,2021-11-10_445.pdf
C97486408,14646.08,Email_Attachment_2022-05-07_446.pdf
508344808,6436.67,2021-10-18_447.pdf
K18316941,8043.929999999999,Invoice (448).pdf
N00268955,3161.93,Invoice (449).pdf
R99833344,5704.4,Invoice (450).pdf
K37537400,10835.25,K37537400.pdf
M72342104,28937.37,M72342104.pdf
S36128443,4639.570000000001,Incoming_inv_ParaisurZ996560_453.pdf
17596441,4040.53,MilesandSons_2022-10-28.pdf
173606528,4406.12,Invoice (455).pdf
D20014588,2535.32,2023-04-11_456.pdf
I33403797,13418.16,PerezGroup_2021-02-23.pdf
930183776,3069.75,2021-07-25_458.pdf
361699968,11796.08,Invoice (459).pdf
368794132,32544.28,Invoice (460).pdf
390897961,3068.49,RayInc_2021-07-06.pdf
961883319,789.8,Email_Attachment_2021-03-23_462.pdf
H02256990,7440.37,H02256990.pdf
M89647629,8733.83,2022-02-25_464.pdf
51034734,10675.66,BoydLewisandCarroll_2023-01-16.pdf
279284583,10673.149999999998,Email_Attachment_2021-04-03_466.pdf
792594601,3539.2,792594601.pdf
147743736,7559.45,RomanMason_2022-05-10.pdf
237089499,9130.64,HollandJohnsonandFranklin_2021-03-27.pdf
W42549923,3943.73,W42549923.pdf
751972338,3612.34,Email_Attachment_2021-03-07_471.pdf
V66148186,6452.21,Email_Attachment_2022-03-09_472.pdf
96194542,2055.93,WilliamsandSons_2022-06-18.pdf
V29140554,6156.5,Invoice (474).pdf
V25420476,7592.429999999999,V25420476.pdf
A42301146,23606.06,Incoming_inv_ParaisurZ996560_476.pdf
529668905,29233.01,529668905.pdf
Z43976944,9523.28,
465461155,7931.34,2022-01-17_479.pdf
248323893,4222.03,Invoice (480).pdf
Y70356799,7941.63,Y70356799.pdf
F07073333,3263.51,2022-04-25_482.pdf
615636638,33114.39000000001,Incoming_inv_ParaisurZ996560_483.pdf
104318201,26044.95,Incoming_inv_ParaisurZ996560_484.pdf
G09158293,7012.78,CunninghamAcevedoandLogan_2022-04-28.pdf
O47230055,23869.25,BuckRodriguez_2022-12-06.pdf
G17932841,8866.11,G17932841.pdf
741145915,849.99,Incoming_inv_ParaisurZ996560_488.pdf
454585168,21308.81,BarnesPatelandDeleon_2021-02-10.pdf
D20708144,4638.650000000001,DuarteTranandEllis_2021-05-15.pdf
B09247092,11844.97,BrownLtd_2022-11-17.pdf
F05230769,4387.95,F05230769.pdf
Q46020680,1547.5099999999998,2022-05-26_493.pdf
191741155,4278.88,Invoice (494).pdf
27925570,16574.25410480456,Incoming_inv_ParaisurZ996560_495.pdf
W36776142,27225.49,Invoice (496).pdf
I95842174,11671.95,2023-02-22_497.pdf
266467617,830.46,Invoice (498).pdf
667343977,5663.14,Invoice (499).pdf
403991206,4180.030000000001,Incoming_inv_ParaisurZ996560_500.pdf
607892690,9387.58,607892690.pdf
V76598086,9540.26,2021-02-14_502.pdf
N25567128,19972.28,KellyandSons_2022-11-16.pdf
835843019,13425.77,2022-10-30_504.pdf
204399748,3463.35,Incoming_inv_ParaisurZ996560_505.pdf
S47401094,22005.42,2021-04-02_506.pdf
D11134795,8092.07,RodriguezArmstrong_2021-11-10.pdf
494091188,6491.0,Email_Attachment_2021-01-27_508.pdf
198539153,19280.020000000004,Email_Attachment_2021-03-26_509.pdf
528743584,23033.08,Incoming_inv_ParaisurZ996560_510.pdf
454491562,681.67,Email_Attachment_2023-05-04_511.pdf
959582503,7712.74,959582503.pdf
L33585975,6377.1900000000005,L33585975.pdf
549395094,14522.73,Invoice (514).pdf
W99024265,9523.28,
E17563797,9367.51,Email_Attachment_2021-02-13_516.pdf
966145498,9324.69,Email_Attachment_2022-02-15_517.pdf
477606415,18911.91,Invoice (518).pdf
H45592789,13164.27,2021-11-12_519.pdf
472235640,10092.989999999998,WilsonMora_2022-01-19.pdf
407356000,4160.163951198238,407356000.pdf
D84399780,25095.26,Email_Attachment_2021-07-20_522.pdf
636548454,8928.460000000001,636548454.pdf
T95562510,11431.45,Invoice (524).pdf
X28381205,1112.0,LewisMatthewsandStafford_2022-05-30.pdf
424072504,4755.5,Invoice (526).pdf
209744002,9814.82,Incoming_inv_ParaisurZ996560_527.pdf
K92229773,5700.79,2021-04-14_528.pdf
