Invoice Number,Total Charged
695303300,9523.28
133674207,8124.969999999999
681446755,34016.128705539624
754761015,2186.06
75615360,8554.6
204305641,2478.71
275359730,26923.04
T56307050,3279.59
878649276,4482.99
123425725,30259.35
61346439,7448.849999999999
F40354089,4162.24
W62193637,9523.28
K62786286,8817.14
L27687801,9523.28
B08732550,4399.77
74014843,11003.5
E30881832,5442.24
701183358,63077.09
I15224985,9826.14
20219957,9194.14
50122521,10664.34
J00264026,19742.9
726631194,11875.69
27287842,8213.199999999999
U09990181,1911.74
437938912,4172.35
X08063931,24424.3
996910233,15854.16
M36317047,5271.42
909326843,10697.36
O20518692,30395.08
537333499,7378.26
50496674,9950.437918268086
919965246,33175.03
602475699,4353.66
678530051,9523.28
E57700562,8361.33
190442299,31339.620000000003
437707200,3564.65
744290199,12830.509999999998
802300134,1524.7800000000002
283339745,10833.26
W94677031,19312.79
203005751,21909.120000000003
326934939,3499.8100000000004
774492180,4067.09
687940519,18108.48
788626427,9523.28
226285539,24306.77
P22044150,18581.85
957331057,12148.04
V39848944,1797.3200000000002
229888271,15719.98
488568128,14420.4
R42382980,3462.19
L01616257,1781.1
L21090415,34322.990000000005
873781176,21066.46
299041246,19088.79
486619081,22449.55
507356393,5409.72
363832314,34556.34
404530236,34611.73
R88280613,6096.81
939985256,6517.28
A15413523,30858.14
P62552585,6905.21
X92090720,27855.52
86677836,2815.0200000000004
226495711,28135.89
I37011552,13016.789999999995
554890095,6590.32
T13850254,16307.75
A62747783,2611.56
161144530,21166.29
796014322,4046.96
E27387103,9523.28
M34111329,14520.56
M53946534,13207.51
R71670452,14497.41
979670285,2285.75
Q64788539,3065.02
W66258275,15589.280000000002
Y58534003,26187.0
257665806,16366.73
266855019,2445.7
571042494,2608.4500000000007
I04909858,2047.4
P03861535,8897.31
H94723345,10795.28
F53234990,2900.15
Z28552129,157.01858638035702
X30496799,4048.75
134174723,5725.86
181594419,3292.71
C26131047,2047.69
89963850,3202.92
A95729518,5963.860000000001
T29263533,2667.5
Q35306697,3245.48
Y18697538,1324.77
767978072,27573.84
Y07372498,10475.783565948906
V81905273,4391.432217961958
H20799898,6412.9400000000005
X97373999,9823.44
N06323966,9523.28
769069565,6660.51
O58040471,32159.76
M10661182,3988.26
146741953,5431.32
E84433628,4709.59
M24825773,10372.34
W50129278,486.0
653925002,2945.37
625424983,1823.17
U62252886,2653.57
E25373550,29239.66
916297017,12504.28
U34951383,2418.8
700368606,26534.080000000005
A48938858,5554.51
H77240226,35143.11
V93067699,14703.56
H28793370,30133.05
121929110,5970.17
123712539,11967.16
C01327605,7776.870000000001
23859341,15667.85
T23530803,10688.95
309118197,7466.77
J51177512,5642.33
81503201,9717.17
F44767044,5874.52
W69538750,11287.839999999998
H34264676,3286.86
Z23018246,2441.67
707237346,14477.51
311144661,25015.95
U41461082,10063.31
Y85842192,20325.87
V11881912,16116.830000000002
X80960146,4577.2
R27583705,2741.21
481659234,4357.84
718950973,17916.780000000002
340464078,5461.77
K80053090,7208.09
247778754,7386.87
M56560191,8093.200000000002
U89449874,11909.55
E66943855,14060.69
372208840,3362.29
E60004590,13415.17
161789608,6485.49
F14374052,1300.26
C54351527,3574.25
K86263847,1434.31
223220530,9922.9
I22704416,5588.17
J33869062,4023.38
Y44581531,13218.62
G34509205,138755.97999999998
480205534,20376.95
P21203967,647.65
340997336,2763.79
374336120,3821.13
138041107,4218.339999999999
S06435726,2596.04
D89965256,6540.969999999999
36750298,3633.96
209323917,3419.13
W28588383,1258.2099999999998
K34483673,15389.87
952479512,4187.41
136615486,3092.9
341301203,15878.18
E18091299,1590.6899999999998
D86176594,7521.450000000001
935250345,3665.78
U78251903,15740.02
D49325288,28107.11
264787629,2931.29
A79027477,4208.1900000000005
417476526,3779.210000000001
Z47518912,1139.69
S56913219,9788.16
L44853140,10999.27
857400377,6176.06
A19078949,7771.25
Y65193885,4411.030000000001
N53242912,12804.76
645187376,9651.95
426512822,36091.1
168031754,2177.81
X56964357,12394.31
S90772199,541.32
Y41040822,13138.520000000002
224176784,19486.14210702872
U53812741,2713.1600000000003
55844689,631.44
N78782338,3062.32
O92249408,3281.0
U03766588,8890.550000000001
E76958514,19764.65
F32755759,7379.059999999999
908115810,3285.56
H93075608,11923.28
Q45263737,14454.05
Y83417169,12952.35
654302989,14313.72
R58407421,4569.51
546253538,4013.78
W77096603,4090.08
I26698284,7632.849999999999
Z53385331,3716.49
Y35312443,15077.36
33249299,8799.54
J07325873,2231.37
683717975,9523.28
W96773725,15255.54
F60657312,9523.28
618416199,16380.28
U36621776,7867.68
425436720,13049.73
G42990804,22496.599999999995
K20242401,4683.099999999999
590055462,1331.0
N59153641,7585.789999999999
Q63707473,17650.13
L19570662,8609.44
247207243,23888.16
177730377,28437.75
L10865389,7563.019999999999
L16643970,2306.77
I92718194,2425.0
R51421597,6800.1
887415381,2938.41
K40623287,20150.59
P37527092,6709.06
44924707,9219.02
B92638504,9361.17
333552135,24565.5
T29839071,1269.57
U02602009,14931.610000000002
58695402,23694.45
561149405,17432.56
M34276611,9192.78
L07179449,11548.73121148958
7033710,39929.78
874773719,5261.62
840606888,6534.25
T30028314,503.05
N84361545,6959.6
610014553,27408.620000000006
S37803786,8567.2
232631028,3271.21
O50508275,13509.44
17119426,29203.17
947167816,536.58
E60505388,11750.86
W73044264,3199.36
653061787,4859.62
481100984,14370.6
825337294,5988.950000000001
F86760504,8941.51
U66926433,3466.8
H26589199,16322.12
L86890013,31110.370000000003
Z18190532,7798.049999999999
R97213467,15208.179999999998
A11985914,9342.13
U75994515,14379.340000000002
T87643244,6430.87
K37747946,21271.83
O64506955,3481.1500000000005
905096716,31103.480000000003
927485037,16193.25
850213335,10371.43
C53181611,11219.56
M10946314,10696.65
Z12415568,903.77
B75693877,13787.240000000002
478057510,13679.27
607019793,52645.41
K17569782,9484.81
E65634505,3979.81
F64694029,9235.01
81264796,27755.74
H01504657,9523.28
O08914713,9794.29
M24911865,935.92
158309790,1864.76
205226400,11393.009999999998
748103961,3063.8200000000006
261194805,6876.66
H39261083,31113.11
703951510,38207.50000000001
J33475278,5359.280000000001
N59990310,8616.48
103217571,3608.49
243969310,9523.28
131836862,10607.16
348781620,8728.310000000001
504119388,15287.12
S54093661,529.83
B85018278,14590.36
988508280,9523.28
760349488,897.0999999999999
G98919560,4655.089999999999
644451249,18295.917375776775
74018635,8993.67
M54255347,8525.55
550817805,2330.25
U66872824,2061.38
L88384431,12876.618053711421
R82669058,8675.82
T91050331,7261.360000000001
180597354,2109.55
E14362379,11151.2
810008085,13581.76
V16936246,23408.11
X62535979,13829.35
Z36941251,28227.61
266753965,5901.77
89367614,2678.09
S62085135,9765.92
620083599,2001.48
D65291271,17269.64
E56612634,8843.91
Z60190660,7842.9
412294628,2735.3
7159002,1261.1899999999998
494922337,10863.25
770500616,14428.48
O21308504,12028.44
362212319,11924.79
E03729364,17187.47
591538069,6427.68
368692568,6091.743760280648
E78373610,4563.6900000000005
R17088386,1601.02
W57451681,220.83
379559832,3922.63
F08050292,739.95
472087847,3595.2200000000003
E36566211,22702.86
H47985807,7116.860000000001
K47436117,24985.78
E01843575,4278.64
471728107,37918.45
217126073,13931.47
393903331,10758.490000000003
E33791796,16099.33
D50504767,4076.6
29447248,18442.05
796401636,3367.11
842385563,4430.45
M61714936,11818.339999999998
N78954047,18572.300000000003
S99864536,9523.28
B69635686,10276.56
N79850949,9323.82
P81828006,696.72
W35451266,29647.92
T89870021,5206.75
Y95516228,9936.01
X46948350,6533.28
R97747082,7080.580000000001
468587209,36413.67
P32464108,2210.65
N99419684,2357.35
I70857446,17573.07
Z99042111,12214.2
151322339,4539.79
A14355958,3665.250000000001
F43509161,11780.95
W41700629,24990.48
479809842,9461.968901009428
73078527,1461.11
D44139084,5599.88
Z29834990,2015.26
U22148902,8048.94
689737863,7984.11
T91593422,7257.809999999999
434861487,8743.91
F04192694,396.82
Q03615946,31270.0
H52906543,9171.56
636240855,13213.070000000002
712195342,2000.13
R50451043,7177.420000000001
272621573,6767.97
S91245150,3614.56
960884624,5265.78
C38624807,869.8
928523278,4815.84
P41392394,3333.69
683328410,6466.31
W02810013,1310.69
388764495,21989.06579459632
O88278318,579.4000000000001
14220056,2445.7
X37778190,19772.46
650196087,13798.97
N20944669,2163.1800000000003
K66956951,9523.28
279481809,10020.84
K82170038,5147.6
K24837368,5161.97
371599529,13879.97
T86828904,2163.46
F96432356,1543.6099999999997
354828561,2215.07
X75389134,8843.599999999999
Q17028639,5235.7300000000005
261642149,35200.22
W52647091,3912.5
P09565606,10062.679999999998
Z19497807,9523.28
I75744958,56215.43
Y90063173,7258.360000000001
Q59462055,17607.68
B64059582,5529.92
V64316254,39056.48
M99289709,33470.44
905920586,11701.69
O60382460,6052.259999999999
3410655,16644.940000000002
L14362363,20260.29
P97658206,169.08
187085275,21366.48
762002020,2826.81
84093924,6795.9400000000005
B62037391,4959.34
859923348,9523.28
Y68807141,3998.46
E67337054,18693.22
625678898,16293.55
J91699504,652.72
N34832035,14793.52
H74499460,1551.78
537707090,2780.15
G08133303,6388.83
149171621,7926.843909899973
62053479,5216.5
358444323,2711.18
393822269,9267.09
575109766,3606.0500000000006
S53781548,10114.48
818670390,2490.96
H76772729,2853.81
4075853,9523.28
O34909160,6115.950000000001
I45439330,11428.57
717682874,2786.8
388914437,11955.62
541121811,13566.760000000002
303922188,18029.13
N74765060,3417.57
323798183,4466.610000000001
I61739335,1139.49
520937324,1230.22
M57561231,774.44
560394931,8353.72
831083775,3545.41
294275220,1682.9599999999998
10726698,3495.92
943052652,13642.750000000002
109884838,8309.8
486717121,16881.9
995696797,45689.19636275869
640035804,6303.6
X65732317,8714.74
833007744,15896.44
H13372201,37821.33
M92216175,1702.8
713263077,17333.33
F73606992,7795.240000000001
673324589,9523.28
446824670,8932.58
K14493938,10193.78
Z13579459,1945.28
760421621,5082.79
850487389,1084.58
496008118,9523.28
A92930204,5628.2
122635219,10576.84
L62426898,947.98
Y23624340,5804.489999999999
828108277,3482.94
S31628147,3772.87
H64226432,9523.28
671960273,4187.51
X26616871,13666.009999999998
334835129,4116.26
A31500878,8140.54
M06870083,31451.88
512407441,694.0899999999999
276435492,11499.23
C07949388,921.54
740929216,3438.5
39171691,14249.359046573014
J24088478,9523.28
716726548,7656.32
T03868910,13369.52
B24746340,8485.1
Y75103602,24828.86
N00794559,4586.73
221800479,9523.28
G21692001,1142.27
336161256,12656.932490009593
560769517,22533.62
X98019617,4945.66
927590897,7419.639999999999
103771831,890.43
W15716238,25371.6
373198652,15616.79
82946292,27303.15
576405707,815.33
C44757547,3284.71
747995436,4200.820000000001
880314922,30190.74
483298163,11121.83
D60856904,21601.19
413071155,1491.91
W52148031,9523.28
82783587,2491.99
X61051263,1710.9000000000003
E80561076,2699.1900000000005
Q42091054,9591.8
C23563744,6593.009999999999
458923436,3492.05
H97714837,4932.26
300156960,3930.51
N76060437,1855.5
932063675,7113.96
816463672,23687.35
873208270,6430.87
C35528902,14938.43
O07172205,33554.39
X92129349,9523.28
166171286,1073.83
714644419,5930.84
81637261,19289.529999999995
777220620,11290.08
J13324290,1163.37
H92525725,14596.1
669451383,22496.599999999995
817571285,16307.31
G41602454,527.0500000000001
X24665873,30424.07
T20450217,6276.49
436062517,14613.15
350779207,1803.98
159694509,21098.52
L90860134,17895.46
K72169756,1333.16
132463890,15117.87
928824085,1327.91
666501878,3142.82
I33164144,5867.77
167419804,7483.38
N78076328,1879.18
358374817,13862.5
389374562,946.36
199615782,10244.21
191735158,4485.57
C71149052,6013.92
K32266430,5889.620000000001
298874215,357.05
S52088566,22050.25
774431073,8610.36
993008601,14865.26
249148545,7842.9
Z17087461,12115.83
N84341824,17356.260000000002
W08498679,19057.04
F42838802,2315.73
H81368524,9523.28
Y61843660,1894.28
G04545534,4447.83
F57303984,9540.82
500673157,3920.58
Z75127011,8055.31
556969522,26417.13
493426837,28161.57
270410669,3079.24
E78647035,2628.4700000000003
496352093,9203.660000000002
F22646212,12562.28
F58477080,3991.940000000001
900310654,40430.99
965462887,17473.17
R56024532,14916.62
J62056484,1392.05
448089744,2989.7
955388872,22561.340000000004
K40413987,1441.95
411697483,15897.1
408632278,9772.82
L00981624,634.0
X69355246,27752.58
157511214,4588.48
Y79459072,29180.78
534509529,1420.34
B71398501,4524.43
J81465801,31407.55
E77299374,9845.22
579779928,12496.44
188389788,9877.81
651184765,2015.74
457511047,5323.93
R46766698,3338.6700000000005
F55659893,10503.05
I29569341,7042.04
995069335,32873.96
G81681404,4101.89
934501177,2337.29
N42367156,4415.22
S93038598,7656.991761305657
836080747,24243.89
179696144,796.1199999999999
659213196,15699.73
991932972,2708.0000000000005
N42603601,3468.554188432209
S68480539,24091.33
134641440,273.74999999999994
A19885701,20806.66
P10109758,13733.04
91553298,5973.42
T97637435,11736.2
501863900,10867.66
D28999996,5499.990000000001
564653890,27841.75
797336776,2810.6000000000004
239252542,5006.08
300715594,9409.96
666441097,7640.12
B66994378,11643.94
761259632,6469.08
235864113,27179.62
737540792,9773.410000000002
G11273679,10262.75
15446554,1754.23
254385213,10775.075823895402
N13888406,11115.17
N94064738,18350.180000000004
O98334861,12903.97
K11168555,4870.34
K51042077,879.59
N09296251,23492.84
148380969,18795.6
U68724522,16604.7
H41309239,621.06
H96634052,6268.54
320272918,3477.94
R65325174,2943.3500000000004
Y13584028,9523.28
L87545368,9523.28
U17333373,6917.6900000000005
587692676,7630.110000000001
A22113809,6113.259999999999
203415327,50384.17
Z09937746,8730.34
R37095818,53032.53
249070653,10986.8
H15000201,7028.71
848969990,15951.46
179850710,5398.18
L73315281,7357.460000000001
C72890104,9005.48
194871080,18589.51
T49443480,26534.080000000005
N96061142,3069.8
N66469660,13217.25
W27830676,5411.67
836373527,3945.25
A58105111,6657.179999999999
671630289,4908.4
780372644,16594.28
829621902,5530.92
J94816623,12052.15
C86219860,8172.809999999999
627292279,28188.480000000003
387415068,9523.28
J06708576,210.69
G41102182,7542.240000000001
173235339,2348.17
759707946,13930.75
55314341,13026.816267880384
C36997168,1053.1
926534338,39319.23
710370594,10910.8
823576019,18219.99
778234723,5458.82
Y50754978,4518.87
U30482710,4706.77
P82919972,2869.83
212896081,8518.13
73122139,22060.17
238693057,9523.28
560031826,18782.17
T26870957,14633.49
W70670958,4803.06
504281457,41833.16
Y70481826,1960.81
F21855677,5052.73
504410149,11835.13
F90300325,18857.75829382489
Z28231627,8199.56
F10822674,13726.73
374297186,15617.65
694545557,4014.14
M69473297,8015.599999999999
972017988,18695.31
513757627,5541.120000000001
448462517,4319.1900000000005
Q55378628,13434.64
360887046,5969.52
970563448,9374.07
Q72599313,8287.630000000001
825225585,16243.35
931348907,10650.04
C83681042,7951.46
762844737,26257.68
B58503141,21058.1
I53125763,7018.48
675647873,4640.650000000001
454148572,4473.92
T75160494,9523.28
615529936,14755.5
