,path,invoice,costo_prof,costo_total
76,Invoice (830).pdf,A19078949,7771.25,30174.23
77,Invoice (8303).pdf,A91160739,8239.85,26674.92
78,Invoice (8329).pdf,779694945,3547.88,14309.0
79,Invoice (833).pdf,645187376,9299.689999999999,20451.5
80,Invoice (8331).pdf,867439731,5998.070000000001,33503.99
81,Invoice (8341).pdf,278293058,1960.14,6422.13
82,Invoice (8344).pdf,312844319,7459.82,29837.67
83,Invoice (8345).pdf,121918403,12736.81,30551.35
84,Invoice (8346).pdf,Z02122744,6076.79,34428.19
85,Invoice (8349).pdf,273249668,17893.88,50483.91
86,Invoice (835).pdf,168031754,2177.81,18474.22
87,Invoice (836).pdf,X56964357,12394.31,26801.58
88,Invoice (8365).pdf,289365171,4678.9400000000005,19718.77
89,Invoice (8367).pdf,H19786870,10018.140000000001,21181.03
90,Invoice (8371).pdf,700624882,1336.1100000000004,25519.11
91,Invoice (8377).pdf,I30188742,1620.3899999999999,5085.9
92,Invoice (8384).pdf,A07397740,3463.5200000000004,17243.12
93,Invoice (8389).pdf,803234245,6354.59,19875.57
94,Invoice (839).pdf,224176784,1201.5900000000001,43608.38
95,Invoice (8390).pdf,365547116,8.17,29091.35
96,Invoice (8395).pdf,202144195,13151.589999999998,29371.6
97,Invoice (84).pdf,713971768,99.47,22184.47
98,Invoice (840).pdf,U53812741,3599.5600000000004,19168.33
99,Invoice (8408).pdf,B91149000,8407.6,18936.44
